Fiscal Year/Quaterly,ddGDP,ddM2,ddNex,ddInf,ddRex
2013 Q4,-6990341.3,-938128.54,-14.00483405,-0.954391117,6.479223288
2014 Q1,12547430.2,2278599.38,12.02397186,1.633477104,-7.572386736
2014 Q2,3147343.8,-2570978.25,8.40450938,-0.685203879,11.71653317
2014 Q3,-9149364.4,6744.51,16.99778518,-0.062708391,8.859798143
2014 Q4,-6558207.5,449084.31,0.842344498,0.945214279,-2.348350024
2015 Q1,12009956.8,1904945,30.64253626,0.766265945,28.88935959
2015 Q2,4525387.5,-1237920.04,101.972361,3.120124805,56.32344185
2015 Q3,-9747107.4,986776.82,-109.5318071,-3.227187911,-76.129158
2015 Q4,-7709773.5,-1225228.41,-84.96068376,-5.224679575,-20.38214972
2016 Q1,13078674.2,1076770.09,-41.07448683,6.616499954,-89.34903191
2016 Q2,4785243.9,-2372325.25,96.32484667,-1.709950751,95.1730325
2016 Q3,-9899247.6,1894884.87,81.15150885,-0.972744792,77.01295775
2016 Q4,-8681375,-71133.33,-45.30774892,-0.565904989,-28.14588506
2017 Q1,14002079.9,1659071.37,-52.15504626,-0.81062066,-42.27629974
2017 Q2,5395853.3,-3393115.93,-2.64895447,1.076748952,-13.35002992
2017 Q3,-11104558.7,2828140,2.327046102,2.27585574,-18.88417604
2017 Q4,-8860270,-1065496.34,-29.76124061,-1.364289866,-4.531050718
2018 Q1,14773602.3,1233061.5,36.52334338,-0.991098467,37.57066479
2018 Q2,12648818.2,-2912745.77,120.3528905,2.639870301,69.66714495
2018 Q3,-20610633.9,3466762.16,-52.63462477,-0.15600624,-47.92672332
2018 Q4,-8698252.9,-3373985.16,-105.8853573,-2.716343948,-51.89236009
2019 Q1,17378664.7,1596889.89,26.08873915,3.337309963,-4.088717445
2019 Q2,8831023.8,-1334980.17,-3.3907615,1.156281545,-14.64304271
2019 Q3,-18049814.3,5427752.66,2.006923496,-3.367899422,25.77037618
2019 Q4,-9610523.6,-5590709.66,-73.07947647,-2.150438959,-28.14570319
2020 Q1,18336878.1,810724.32,44.90738386,-0.214126212,21.90658724
2020 Q2,7503914.5,751536.81,-25.81549935,2.070906366,-23.44252351
2020 Q3,-16238166.3,4250402.56,17.86935746,-0.832033281,11.39831394
2020 Q4,-7318847.8,-3761226.38,118.6959099,-0.20800832,96.83412152
2021 Q1,15468715,373190.71,108.1808073,3.942981249,59.96576683
2021 Q2,9177494.8,-2939244.48,-82.46490524,-0.11929889,-69.03588219
2021 Q3,-16861095.9,3521608.75,22.83213649,3.248600532,-11.24214169
2021 Q4,-8260283.3,-4703719.56,-159.8413675,-1.505001377,-87.47560464
2022 Q1,16158925.3,2563619.9,104.1815126,4.310054755,53.6654227
2022 Q2,9356638.2,-2759246.52,80.17391304,9.972163592,-29.01346647
2022 Q3,-17442373.1,2834326.39,-54.34782609,0.911565874,-33.58877868
2022 Q4,-23081580.6,-73769.72,-97.82608696,-51.23764951,242.9625701